TransID;SymbolID;ExpertID;Prediction;Rate;TimeBefore;Decision
0.0;S94311056;3084;1;0.4603721;0;-1
0.0;S94311056;3864;1;0.1864133;6;-1
0.0;S94311056;25525;1;0.211129;7;-1
0.0;S94311056;342;1;0.1658611;9;-1
0.0;S94311056;1573;1;0.2515862;9;-1
0.0;S94311056;342;1;0.1766182;10;-1
0.0;S94311056;3104;1;0.1046623;11;-1
0.0;S94311056;941;1;0.3092294;11;-1
0.0;S94311056;2208;1;0.8181923;11;-1
0.0;S94311056;3105;1;NA;12;-1
0.0;S94311056;3084;1;0.5217696;12;-1
0.0;S94311056;3105;1;NA;12;-1
0.0;S94311056;1708;1;6.764711;13;-1
0.0;S94311056;1239;0;NA;14;-1
0.0;S94311056;3104;1;6.729683;14;-1
0.0;S94311056;303;1;0.2290017;15;-1
0.0;S94311056;471;0;NA;15;-1
0.0;S94311056;3110;1;0.01597471;15;-1
0.0;S94311056;1573;1;0.1962283;15;-1
0.0;S94311056;1078;1;8.05385;16;-1
0.0;S94311056;3077;1;0.2693727;16;-1
0.0;S94311056;510;1;0.3091455;17;-1
0.0;S94311056;4527;1;0.3141197;17;-1
0.0;S94311056;3864;1;0.1869643;18;-1
0.0;S94311056;3082;1;0.324803;19;-1
0.0;S94311056;3640;1;NA;20;-1
0.0;S94311056;3084;1;0.4637285;21;-1
0.0;S94311056;3117;1;0.2316211;22;-1
0.0;S94311056;3125;1;NA;22;-1
0.0;S94311056;3178;1;0.1870569;23;-1
0.0;S94311056;3104;-1;-0.9636339;24;-1
0.0;S94311056;3110;1;0.0261754;24;-1
0.0;S94311056;2208;1;0.856397;25;-1
0.0;S94311056;342;1;0.1899503;26;-1
0.0;S94311056;3133;1;0.2725956;27;-1
0.0;S94311056;3084;1;0.5649486;27;-1
0.0;S94311056;3114;-1;NA;28;-1
0.0;S94311056;430;1;NA;29;-1
0.0;S94311056;2208;1;0.9071809;32;-1
0.0;S94311056;303;1;0.2674045;34;-1
0.0;S94311056;2208;1;0.9340357;37;-1
0.0;S94311056;1573;1;NA;37;-1
0.0;S94311056;1158;1;0.2913787;43;-1
0.0;S94311056;736;1;0.3130317;44;-1
0.0;S94311056;4527;1;0.4167874;45;-1
0.0;S94311056;1573;1;0.4162063;46;-1
0.0;S94311056;3178;1;NA;48;-1
0.0;S94311056;2208;1;0.9343748;50;-1
0.0;S94311056;3110;1;0.09155336;51;-1
0.0;S94311056;3077;1;0.3732445;51;-1
0.0;S94311056;3084;1;0.6021186;51;-1
0.0;S94311056;2208;1;1.066108;55;-1
0.0;S94311056;3077;1;NA;58;-1
1.0;S175871;307;1;0.1847301;0;0
1.0;S175871;307;1;0.1643529;40;0
2.0;S1913464;3888;1;0.1612903;0;-1
3.0;S3682384;1702;1;0.1366866;0;1
4.0;S94311056;3110;1;NA;0;1
4.0;S94311056;3117;1;0.2684415;8;1
4.0;S94311056;4527;1;0.2270999;14;1
4.0;S94311056;2073;1;0.1289319;14;1
4.0;S94311056;1855;1;0.3498099;14;1
4.0;S94311056;3127;1;0.2185985;16;1
4.0;S94311056;3864;1;0.1562991;17;1
4.0;S94311056;1736;1;0.2950549;17;1
4.0;S94311056;342;1;0.1562991;17;1
4.0;S94311056;922;1;0.202551;17;1
4.0;S94311056;3077;1;0.1701747;17;1
4.0;S94311056;588;1;0.2959257;19;1
4.0;S94311056;3105;1;0.319488;19;1
4.0;S94311056;1158;1;0.2441551;19;1
4.0;S94311056;3084;1;0.3147755;19;1
4.0;S94311056;3138;1;0.1343778;24;1
4.0;S94311056;1576;1;NA;27;1
4.0;S94311056;1078;1;0.1686973;31;1
4.0;S94311056;1914;1;NA;38;1
4.0;S94311056;4626;1;NA;39;1
4.0;S94311056;1158;1;NA;42;1
4.0;S94311056;208;-1;NA;42;1
4.0;S94311056;3077;1;0.314733;44;1
4.0;S94311056;3082;1;NA;47;1
5.0;S4258978;3490;-1;NA;0;1
6.0;S3515147;3250;0;NA;0;-1
6.0;S3515147;746;0;-0.07084785;0;-1
7.0;S3682384;1702;0;0.06903425;0;0
8.0;S48162117;1346;0;0.1217359;0;1
8.0;S48162117;3519;0;-0.01690238;54;1
9.0;S5131181;1735;1;1.288389;0;0
9.0;S5131181;3339;1;1.125963;8;0
9.0;S5131181;4160;1;1.329405;13;0
9.0;S5131181;1051;1;1.34375;14;0
9.0;S5131181;2265;0;0.9653979;16;0
9.0;S5131181;2253;1;1.262124;20;0
10.0;S1139883;4365;1;0.2044968;0;0
10.0;S1139883;3135;1;0.2524353;38;0
10.0;S1139883;4365;1;0.2576859;44;0
11.0;S1367196;1188;1;2.975413;0;-1
11.0;S1367196;278;0;2.273518;42;-1
12.0;S314697;3392;1;NA;0;0
12.0;S314697;1721;1;0.208837;46;0
13.0;S94311056;3105;0;-0.0394981;0;1
13.0;S94311056;4527;1;0.3335149;14;1
13.0;S94311056;881;1;0.5419884;16;1
13.0;S94311056;3110;1;0.3706564;16;1
13.0;S94311056;3104;1;NA;16;1
13.0;S94311056;303;1;0.2698429;30;1
13.0;S94311056;3162;1;0.2424086;37;1
13.0;S94311056;2146;1;0.2662411;49;1
14.0;S3806332;3457;0;0.07238606;0;-1
14.0;S3806332;2301;0;0.03779127;45;-1
14.0;S3806332;3679;0;-0.003197292;58;-1
15.0;S12434156;3878;1;0.1424404;0;1
15.0;S12434156;3869;1;0.1667477;0;1
15.0;S12434156;7314;0;0.05832549;22;1
16.0;S3554366;3566;0;0.09806891;0;-1
16.0;S3554366;3483;-1;-0.04549147;21;-1
16.0;S3554366;22522;1;0.1525005;22;-1
16.0;S3554366;343;1;0.1168563;23;-1
16.0;S3554366;856;0;0.03220479;28;-1
16.0;S3554366;3483;-1;NA;55;-1
16.0;S3554366;343;1;0.1630411;56;-1
17.0;S591675;4836;1;0.1723954;0;1
17.0;S591675;3524;1;0.5281174;34;1
17.0;S591675;221;1;0.2954966;36;1
17.0;S591675;1652;0;NA;36;1
17.0;S591675;4176;0;0.1169718;39;1
17.0;S591675;3873;1;0.3962147;39;1
17.0;S591675;6072;1;NA;40;1
17.0;S591675;1552;1;0.2772586;40;1
17.0;S591675;6196;1;0.2149533;40;1
18.0;S2092136;3456;1;0.09689214;0;-1
19.0;S448588;847;1;1.102521;0;1
19.0;S448588;847;1;1.103898;23;1
19.0;S448588;6233;-1;0.9163642;43;1
19.0;S448588;3703;-1;0.9091281;44;1
20.0;S2267887;1298;0;-0.004517316;0;0
20.0;S2267887;307;1;0.003932067;13;0
20.0;S2267887;15240;1;0.06761566;26;0
20.0;S2267887;3486;0;-0.02558888;26;0
20.0;S2267887;4186;1;0.05932203;28;0
20.0;S2267887;22466;1;0.1473848;31;0
20.0;S2267887;307;1;0.04130809;37;0
20.0;S2267887;1298;0;0.01549053;37;0
20.0;S2267887;3691;1;0.1602452;42;0
21.0;S29800192;3854;1;0.06125951;0;1
21.0;S29800192;1793;1;0.1673855;0;1
21.0;S29800192;15087;1;0.1456098;2;1
21.0;S29800192;1892;1;0.085031;7;1
21.0;S29800192;930;1;0.07762194;11;1
21.0;S29800192;14907;1;0.1219512;13;1
21.0;S29800192;4447;1;0.1490179;18;1
21.0;S29800192;3885;1;0.1267806;21;1
21.0;S29800192;3348;1;0.317507;23;1
21.0;S29800192;1527;1;0.2305968;28;1
22.0;S32606160;1043;-1;-0.1449145;0;1
23.0;S3575567;37216;1;-0.3138937;0;1
23.0;S3575567;37216;1;-0.1422445;61;1
24.0;S47439160;1527;0;NA;0;-1
24.0;S47439160;3054;0;0.128173;17;-1
24.0;S47439160;3854;1;0.34396;19;-1
24.0;S47439160;603;0;0.2403101;21;-1
24.0;S47439160;3461;1;0.2675626;24;-1
24.0;S47439160;1209;1;0.2217471;24;-1
24.0;S47439160;4447;0;0.0550113;25;-1
24.0;S47439160;15087;0;NA;25;-1
24.0;S47439160;3885;1;0.2084592;27;-1
24.0;S47439160;14907;1;0.2468828;29;-1
24.0;S47439160;1892;0;0.02684465;29;-1
24.0;S47439160;1892;0;NA;29;-1
24.0;S47439160;1209;1;0.08491248;39;-1
24.0;S47439160;3348;0;0.07122177;41;-1
24.0;S47439160;3673;1;0.2324199;44;-1
25.0;S27356109;765;1;NA;0;-1
26.0;S47757139;4035;1;NA;0;0
26.0;S47757139;3153;0;-0.02439024;0;0
26.0;S47757139;3296;1;0.1600074;31;0
26.0;S47757139;3014;1;NA;40;0
26.0;S47757139;1157;1;0.1468321;42;0
26.0;S47757139;230;1;0.2456209;45;0
27.0;S29981135;2099;1;NA;0;1
27.0;S29981135;1715;1;0.1391881;33;1
27.0;S29981135;1533;1;0.344086;47;1
27.0;S29981135;1871;1;NA;52;1
28.0;S40770141;3107;1;0.1764706;0;0
28.0;S40770141;464;0;NA;25;0
29.0;S25239156;4513;1;NA;0;1
29.0;S25239156;1175;-1;NA;54;1
30.0;S39271195;3359;0;0.6192498;0;-1
30.0;S39271195;1710;1;0.6202833;5;-1
30.0;S39271195;14866;0;0.7137113;37;-1
30.0;S39271195;1710;1;0.5290828;48;-1
31.0;S36586316;1700;1;0.2066696;0;-1
31.0;S36586316;1700;1;0.3036265;16;-1
31.0;S36586316;1700;1;0.2189716;24;-1
31.0;S36586316;1700;1;0.1833046;27;-1
31.0;S36586316;1700;1;0.2380416;36;-1
31.0;S36586316;1700;1;0.07191581;47;-1
31.0;S36586316;1700;1;0.08481262;54;-1
32.0;S1448130;1711;1;0.25;0;-1
32.0;S1448130;3267;1;0.2927369;27;-1
32.0;S1448130;3139;0;-0.004555424;31;-1
33.0;S24359139;3420;-1;-0.1281604;0;1
33.0;S24359139;222;1;0.4611872;43;1
33.0;S24359139;3164;0;NA;50;1
33.0;S24359139;4117;1;0.3464991;52;1
33.0;S24359139;4240;1;0.1669659;52;1
33.0;S24359139;3677;1;0.1828935;54;1
34.0;S2890954;1045;0;NA;0;-1
35.0;S1956391;1046;0;0.07317073;0;-1
35.0;S1956391;4412;0;0.2987013;54;-1
35.0;S1956391;291;1;0.2710127;60;-1
36.0;S1588591;286;1;0.7019103;0;0
36.0;S1588591;7463;0;0.5921096;0;0
36.0;S1588591;3832;1;NA;5;0
36.0;S1588591;3761;1;0.5917077;6;0
36.0;S1588591;735;1;0.6940623;22;0
